id,name,original_name,director,mother_company,length_minutes,year,country,picture_format,age_limit,number_of_disks,weight,rating,num_of_rates,price,picture
132385,'just name','just orig name','just dir name','just mc name','96','1971','СССР','PAL | 1080p Full High Definition 16:9 (2.35:1)| Anamorphic WideScreen 16.9 (1.85:1)','16+',2,80.0,'4.4',68,521.0,'./img/132385jpg'
46102,'just name','just orig name','just dir name','just mc name','85','2013','США','PAL | 1080p High Definition 16:9 (1.85:1)','16+',1,65.0,'4.5',40,999.0,'./img/46102jpg'
81836,'just name','just orig name','just dir name','just mc name','133','2016','США','PAL | 1080p High Definition 16:9 (2.39:1)','16+',1,65.0,'4.4',73,279.0,'./img/81836jpg'
50793,'just name','just orig name','just dir name','just mc name','120','2014','США| Германия','PAL | 1080p Full High Definition','12+',1,80.0,'3.8',32,599.0,'./img/50793jpg'
80318,'just name','just orig name','just dir name','just mc name','347','2011','США','PAL | Anamorphic WideScreen 16:9 (1.78:1)| Full Frame 16:9 (1.78:1)','16+',4,125.0,'4.4',46,540.0,'./img/80318jpg'
64523,'just name','just orig name','just dir name','just mc name','92','2015','Франция| Китай','PAL | 1080i High Definition 16:9','16+',1,60.0,'4.4',55,365.0,'./img/64523jpg'
35486,'just name','just orig name','just dir name','just mc name','91','2010','Канада| США','PAL | WideScreen 16:9 (1.78:1)','18+',1,65.0,'4.5',30,499.0,'./img/35486jpg'
103557,'just name','just orig name','just dir name','just mc name','140','2017','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','16+',1,60.0,'4.5',62,674.0,'./img/103557jpg'
46204,'just name','just orig name','just dir name','just mc name','106','2012','США','PAL | 1080p Full High Definition 16:9 (2.35:1)','6+',1,60.0,'4.5',66,899.0,'./img/46204jpg'
81646,'just name','just orig name','just dir name','just mc name','98','2016','США| Великобритания| Болгария','PAL | 1080p Full High Definition','18+',1,60.0,'4.4',77,519.0,'./img/81646jpg'
90300,'just name','just orig name','just dir name','just mc name','116','1993','Австралия| Новая Зеландия| Франция','PAL | 1080p Full High Definition 16:9 (1.85:1)','16+',1,60.0,'4.6',110,449.0,'./img/90300jpg'
127633,'just name','just orig name','just dir name','just mc name','93','2018','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','16+',1,70.0,'4.4',72,529.0,'./img/127633jpg'
34716,'just name','just orig name','just dir name','just mc name','130','2011','США','PAL | Anamorphic WideScreen 16:9 (2.40:1)| 1080p High Definition 16:9 (2.40:1)','12+',2,115.0,'4.6',75,1999.0,'./img/34716jpg'
32099,'just name','just orig name','just dir name','just mc name','103','2010','США','PAL | (2.35:1) 1920 X 1080','0+',1,65.0,'4.4',37,534.0,'./img/32099jpg'
92196,'just name','just orig name','just dir name','just mc name','88','2016','США','PAL | 1080p Full High Definition 16:9 (1.85:1)','18+',1,65.0,'4.3',52,279.0,'./img/92196jpg'
25339,'just name','just orig name','just dir name','just mc name','128','2010','Россия','PAL | 1080p High Definition 16:9','16+',1,75.0,'4.6',17,599.0,'./img/25339jpg'
48683,'just name','just orig name','just dir name','just mc name','99','2012','США| Великобритания','PAL | 1080p High Definition','18+',1,70.0,'4.3',27,599.0,'./img/48683jpg'
39703,'just name','just orig name','just dir name','just mc name','98','2011','США','PAL | 1080p Animorphic 16:9 2.35:1','18+',1,65.0,'4.5',48,534.0,'./img/39703jpg'
111305,'just name','just orig name','just dir name','just mc name','95','2017','США','PAL | 1080p Full High Definition 16:9 (2.35:1)','18+',1,70.0,'4.5',71,534.0,'./img/111305jpg'
42755,'just name','just orig name','just dir name','just mc name','105','2012','США','PAL | 1080p Full High Definition','18+',1,65.0,'4.5',64,399.0,'./img/42755jpg'
94409,'just name','just orig name','just dir name','just mc name','96','2016','США','PAL | 1080p High Definition 16:9 2.40:1','18+',1,70.0,'4.6',47,529.0,'./img/94409jpg'
131644,'just name','just orig name','just dir name','just mc name','100','2018','США','PAL | 1080p High Definition 16:9 (2.39:1)','16+',1,80.0,'4.5',73,674.0,'./img/131644jpg'
